类别,子类别,描述,示例
家庭状况,婚姻/子女/居住状况,如：未婚与父母同住、已婚有两个孩子,未婚与父母同住、已婚有两个孩子
,重要人际关系,原生家庭/社交关系,独生子女、与母亲关系紧张、社交圈子小
,生活环境,居住/工作环境,租住单身公寓、高压工作环境
,成长经历,关键事件/创伤经历,父母离异、学业挫折、职场受挫
当前困扰,主诉问题,核心困扰,工作倦怠、人际焦虑、婚恋困惑
,问题历程,持续时间/发展过程,近三个月加重、断断续续持续两年
,影响范围,生活/工作/关系影响,失眠、工作效率下降、社交退缩
,应对方式,当前处理方法,逃避、过度工作、网络成瘾
,求助动机,来访原因/期待,家人建议、自我成长、症状困扰
情绪表现,情绪状态,主要情绪类型,焦虑、抑郁、愤怒、委屈、羞愧
,情绪波动,波动规律/触发因素,早晨情绪最差、工作压力导致焦虑加重
,表达方式,情绪表达特点,压抑克制、情绪爆发、间接表达
非语言行为,面部表情,表情变化特征,皱眉、咬嘴唇、目光游离、强颜欢笑
,身体姿势,姿势变化特征,蜷缩、身体前倾、靠背紧贴椅背、双臂交叉
,手势动作,特征性动作,绞手指、摆弄衣角、抖腿、玩手机
,声音特征,语音语调变化,声音发抖、语速加快、音量忽大忽小、语调平淡
互动特征,互动方式,与咨询师互动模式,依赖型、防御型、合作型、测试型
,回应模式,回应特征/防御方式,简短回应、转移话题、沉默、理智化
,信任建立,信任发展过程,初期警惕、逐渐开放、选择性信任
变化阶段,初期特征,初次会谈表现,紧张不安、话语简短、观察试探
,中期特征,咨询中期表现,情绪宣泄、主动分享、抗拒产生
,后期特征,咨询后期表现,整合洞察、自主性增强、建设性计划
